evidence_type,case_id,problem,source_count,all_cleared,virtual_seconds,seconds_per_source,movement_seconds,measurement_seconds,switch_seconds,successful_clear_seconds,failed_clear_seconds,measurement_count,rounding_residual_seconds,retry_count
official_practice,official_q3_01,q3,11,True,3016.313592,274.21032654545456,2269.313592186786,580,112,55,0,116,-1.8678611013456248e-07,0
official_practice,official_q3_02,q3,12,True,3285.482035,273.79016958333335,2526.4820347054224,585,111,60,3,117,2.945776031992864e-07,0
official_practice,official_q3_03,q3,12,True,3083.94616,256.99551333333335,2330.9461581813944,580,113,60,0,116,1.8186055967817083e-06,0
official_practice,official_q3_04,q3,11,True,2949.824471,268.165861,2248.824473224792,545,101,55,0,109,-2.2247922970564105e-06,0
official_practice,official_q3_05,q3,15,True,2909.861126,193.99074173333332,2195.8611263467888,535,104,75,0,107,-3.467889655439649e-07,0
official_practice,official_q4_01,q4,10,True,6669.268712,666.9268712,4704.268710687675,1545,292,50,78,309,1.3123253665980883e-06,0
official_practice,official_q4_02,q4,12,True,6447.769582,537.3141318333334,4596.769581773301,1430,265,60,96,286,2.2669883037451655e-07,0
official_practice,official_q4_03,q4,11,True,6603.408783,600.3098893636363,4716.408784440071,1480,274,55,78,296,-1.4400711734197102e-06,0
official_practice,official_q4_04,q4,11,True,6833.835969,621.2578153636364,4840.835967051445,1560,294,55,84,312,1.948555109265726e-06,0
official_practice,official_q4_05,q4,14,True,6046.334244,431.8810174285714,4450.334244295859,1220,234,70,72,244,-2.9585953598143533e-07,0
